{'id': 1463, 'name': 'culture clash'}",Avatar,"{'id': 3386, 'name': 'space war'}","{'id': 3388, 'name': 'space colony'}","{'id': 3679, 'name': 'society'}","{'id': 3801, 'name': 'space travel'}","{'id': 9685, 'name': 'futuristic'}","{'id': 9840, 'name': 'romance'}","{'id': 9882, 'name': 'space'}","{'id': 9951, 'name': 'alien'}","{'id': 10148, 'name': 'tribe'}","{'id': 10158, 'name': 'alien planet'}","{'id': 10987, 'name': 'cgi'}","{'id': 11399, 'name': 'marine'}","{'id': 13065, 'name': 'soldier'}","{'id': 14643, 'name': 'battle'}","{'id': 14720, 'name': 'love affair'}","{'id': 165431, 'name': 'anti war'}","{'id': 193554, 'name': 'power relations'}","{'id': 206690, 'name': 'mind and soul'}","{'id': 209714, 'name': '3d'},
{'id': 270, 'name': 'ocean'}",Pirates of the Caribbean: At World's End,"{'id': 911, 'name': 'exotic island'}","{'id': 1319, 'name': 'east india trading company'}","{'id': 2038, 'name': ""love of one's life""}","{'id': 2052, 'name': 'traitor'}","{'id': 2580, 'name': 'shipwreck'}","{'id': 2660, 'name': 'strong woman'}","{'id': 3799, 'name': 'ship'}","{'id': 5740, 'name': 'alliance'}","{'id': 5941, 'name': 'calypso'}","{'id': 6155, 'name': 'afterlife'}","{'id': 6211, 'name': 'fighter'}","{'id': 12988, 'name': 'pirate'}","{'id': 157186, 'name': 'swashbuckler'}","{'id': 179430, 'name': 'aftercreditsstinger'},
{'id': 470, 'name': 'spy'}",Spectre,"{'id': 4289, 'name': 'secret agent'}","{'id': 9663, 'name': 'sequel'}","{'id': 14555, 'name': 'mi6'}","{'id': 156095, 'name': 'british secret service'}","{'id': 158431, 'name': 'united kingdom'},
{'id': 849, 'name': 'dc comics'}",The Dark Knight Rises,"{'id': 949, 'name': 'terrorist'}","{'id': 1308, 'name': 'secret identity'}","{'id': 1437, 'name': 'burglar'}","{'id': 3051, 'name': 'hostage drama'}","{'id': 3562, 'name': 'time bomb'}","{'id': 6969, 'name': 'gotham city'}","{'id': 7002, 'name': 'vigilante'}","{'id': 9665, 'name': 'cover-up'}","{'id': 9715, 'name': 'superhero'}","{'id': 9990, 'name': 'villainess'}","{'id': 10044, 'name': 'tragic hero'}","{'id': 13015, 'name': 'terrorism'}","{'id': 14796, 'name': 'destruction'}","{'id': 18933, 'name': 'catwoman'}","{'id': 156082, 'name': 'cat burglar'}","{'id': 156395, 'name': 'imax'}","{'id': 173272, 'name': 'flood'}","{'id': 179093, 'name': 'criminal underworld'}","{'id': 230775, 'name': 'batman'},
{'id': 818, 'name': 'based on novel'}",John Carter,"{'id': 1456, 'name': 'medallion'}","{'id': 3801, 'name': 'space travel'}","{'id': 7376, 'name': 'princess'}","{'id': 9951, 'name': 'alien'}","{'id': 10028, 'name': 'steampunk'}","{'id': 10539, 'name': 'martian'}","{'id': 10685, 'name': 'escape'}","{'id': 161511, 'name': 'edgar rice burroughs'}","{'id': 163252, 'name': 'alien race'}","{'id': 179102, 'name': 'superhuman strength'}","{'id': 190320, 'name': 'mars civilization'}","{'id': 195446, 'name': 'sword and planet'}","{'id': 207928, 'name': '19th century'}","{'id': 209714, 'name': '3d'},
{'id': 851, 'name': 'dual identity'}",Spider-Man 3,"{'id': 1965, 'name': 'sandstorm'}","{'id': 2038, 'name': ""love of one's life""}","{'id': 3446, 'name': 'forgiveness'}","{'id': 3986, 'name': 'spider'}","{'id': 4391, 'name': 'wretch'}","{'id': 4959, 'name': 'death of a friend'}","{'id': 5776, 'name': 'egomania'}","{'id': 5789, 'name': 'sand'}","{'id': 5857, 'name': 'narcism'}","{'id': 6062, 'name': 'hostility'}","{'id': 8828, 'name': 'marvel comic'}","{'id': 9663, 'name': 'sequel'}","{'id': 9715, 'name': 'superhero'}","{'id': 9748, 'name': 'revenge'},
{'id': 1562, 'name': 'hostage'}",Tangled,"{'id': 2673, 'name': 'horse'}","{'id': 3205, 'name': 'fairy tale'}","{'id': 4344, 'name': 'musical'}","{'id': 7376, 'name': 'princess'}","{'id': 10336, 'name': 'animation'}","{'id': 33787, 'name': 'tower'}","{'id': 155658, 'name': 'blonde woman'}","{'id': 162219, 'name': 'selfishness'}","{'id': 163545, 'name': 'healing power'}","{'id': 179411, 'name': 'based on fairy tale'}","{'id': 179431, 'name': 'duringcreditsstinger'}","{'id': 215258, 'name': 'healing gift'}","{'id': 234183, 'name': 'animal sidekick'},
{'id': 8828, 'name': 'marvel comic'}",Avengers: Age of Ultron,"{'id': 9715, 'name': 'superhero'}","{'id': 9717, 'name': 'based on comic book'}","{'id': 10629, 'name': 'vision'}","{'id': 155030, 'name': 'superhero team'}","{'id': 179431, 'name': 'duringcreditsstinger'}","{'id': 180547, 'name': 'marvel cinematic universe'}","{'id': 209714, 'name': '3d'},
{'id': 616, 'name': 'witch'}",Harry Potter and the Half-Blood Prince,"{'id': 3872, 'name': 'broom'}","{'id': 3884, 'name': 'school of witchcraft'}","{'id': 6333, 'name': 'wizardry'}","{'id': 10164, 'name': 'apparition'}","{'id': 10791, 'name': 'teenage crush'}","{'id': 12564, 'name': 'werewolf'},
{'id': 849, 'name': 'dc comics'}",Batman v Superman: Dawn of Justice,"{'id': 9715, 'name': 'superhero'}","{'id': 9717, 'name': 'based on comic book'}","{'id': 9748, 'name': 'revenge'}","{'id': 163455, 'name': 'super powers'}","{'id': 195242, 'name': 'clark kent'}","{'id': 195243, 'name': 'bruce wayne'}","{'id': 229266, 'name': 'dc extended universe'},
